Model,Train R²,Val R²,Test R²,Adjusted R²,Test MAE (₹Cr),Test RMSE (₹Cr),Test MAPE (%),Test MedAE (₹Cr),Train Time (s),Overfit Gap
XGBoost,0.9479,0.9392,0.572,0.5406,10.02,73.51,21.82,4.3,2.487,0.3759
Gradient Boosting,0.9376,0.8867,0.567,0.5352,11.38,73.94,22.3,4.44,6.224,0.3706
LightGBM,0.8893,0.8361,0.4975,0.4606,12.75,79.65,23.09,4.6,3.696,0.3918
Random Forest,0.8629,0.8507,0.496,0.459,13.48,79.77,26.24,6.49,0.63,0.3669
Decision Tree,0.8148,0.8365,0.4591,0.4195,13.2,82.64,24.87,4.75,0.071,0.3557
Stacking Ensemble 🏆,0.7368,0.3027,0.3714,0.3254,17.39,89.08,16.05,1.92,24.713,0.3654
Linear Regression,0.8236,0.4725,0.2635,0.2095,20.99,96.43,27.11,2.93,0.022,0.5601
Lasso Regression,-0.0308,-0.1621,-0.0967,-0.1771,35.28,117.67,55.64,15.09,0.005,0.0659
Ridge Regression,0.8434,0.0529,-0.6702,-0.7926,31.43,145.21,34.79,2.99,0.007,1.5136
